1,-0.331100,-0.328510,-0.240029
2,-0.656949,-0.643369,-0.486429
3,-0.997636,-0.955708,-0.728488
4,-1.326705,-1.264408,-0.953467
5,-1.652413,-1.669075,-1.190204
6,-1.964192,-1.893074,-1.439822
7,-2.294728,-2.240277,-1.687128
8,-2.617918,-2.541413,-1.938918
9,-2.954689,-2.891693,-2.191754
10,-3.277388,-3.256400,-2.441447
11,-3.612338,-3.612140,-2.693796
12,-3.941057,-3.972143,-2.955030
13,-4.267184,-4.286926,-3.204442
14,-4.591645,-4.564328,-3.461274
15,-4.919732,-4.862462,-3.708513
16,-5.244535,-5.241859,-3.964360
17,-5.575782,-5.591929,-4.208179
18,-5.900101,-5.853728,-4.439032
19,-6.229311,-6.185585,-4.692992
20,-6.552647,-6.503030,-4.935468
21,-6.879335,-6.826849,-5.179064
22,-7.206719,-7.171035,-5.426229
23,-7.521162,-7.494851,-5.685504
24,-7.851419,-7.846668,-5.928895
25,-8.165568,-8.154951,-6.199586
26,-8.491914,-8.514383,-6.450462
27,-8.805733,-8.864686,-6.689653
28,-9.115753,-9.218599,-6.925057
29,-9.443853,-9.578731,-7.188538
30,-9.764732,-9.875811,-7.421773
31,-10.088483,-10.201877,-7.668393
32,-10.421199,-10.608647,-7.911009
33,-10.736617,-10.907146,-8.155292
34,-11.061134,-11.277576,-8.404333
35,-11.382370,-11.619263,-8.657757
36,-11.700177,-11.989656,-8.927202
37,-12.021470,-12.372021,-9.177872
38,-12.340472,-12.701919,-9.444024
39,-12.653584,-12.951672,-9.684959
40,-12.968249,-13.275826,-9.925767
41,-13.274484,-13.596760,-10.175507
42,-13.587206,-13.904765,-10.435043
43,-13.887458,-14.210943,-10.689275
44,-14.205537,-14.539734,-10.950659
45,-14.517798,-14.871620,-11.211530
46,-14.824748,-15.142520,-11.456372
47,-15.143672,-15.539404,-11.727391
48,-15.475823,-15.971951,-11.998006
49,-15.797769,-16.269539,-12.245949
50,-16.118305,-16.540009,-12.489875
