1,-0.407050,-0.273490,-0.301280
2,-0.814939,-0.524089,-0.578338
3,-1.218978,-0.787497,-0.867018
4,-1.637017,-1.098085,-1.168718
5,-2.050714,-1.358762,-1.450750
6,-2.479113,-1.585703,-1.749089
7,-2.898897,-1.880052,-2.059960
8,-3.291384,-2.127362,-2.362003
9,-3.700742,-2.372773,-2.673852
10,-4.110582,-2.614270,-2.952096
11,-4.528468,-2.886571,-3.253094
12,-4.926272,-3.116804,-3.548980
13,-5.323379,-3.389177,-3.836951
14,-5.728404,-3.671061,-4.122691
15,-6.132441,-3.939088,-4.416062
16,-6.534240,-4.250658,-4.702373
17,-6.928339,-4.460588,-5.004906
18,-7.338960,-4.732737,-5.281539
19,-7.745934,-5.023374,-5.581351
20,-8.157051,-5.335564,-5.881506
21,-8.573624,-5.589305,-6.184257
22,-8.974317,-5.896255,-6.490374
23,-9.370749,-6.096811,-6.797389
24,-9.784724,-6.359663,-7.092567
25,-10.189450,-6.630140,-7.381387
26,-10.597187,-6.894185,-7.687912
27,-11.006805,-7.166120,-7.992962
28,-11.400282,-7.448004,-8.285415
29,-11.811883,-7.729537,-8.599380
30,-12.221032,-8.005688,-8.914287
31,-12.616530,-8.276246,-9.234882
32,-13.006507,-8.515029,-9.562759
33,-13.398568,-8.794327,-9.883143
34,-13.796527,-9.060662,-10.197861
35,-14.204895,-9.247145,-10.498516
36,-14.593258,-9.457561,-10.801342
37,-14.995276,-9.701838,-11.097448
38,-15.411712,-10.007120,-11.385652
39,-15.825363,-10.321083,-11.684900
40,-16.220510,-10.585825,-12.009046
41,-16.607550,-10.846496,-12.314322
42,-17.021263,-11.133433,-12.618157
43,-17.413403,-11.387415,-12.922299
44,-17.809643,-11.665653,-13.218114
45,-18.209597,-11.940254,-13.516537
46,-18.617825,-12.276517,-13.806664
47,-19.010511,-12.528023,-14.103253
48,-19.390448,-12.796970,-14.389997
49,-19.789324,-13.123546,-14.677976
50,-20.191507,-13.430775,-15.002020
51,-20.590214,-13.736485,-15.287771
52,-21.005102,-14.040009,-15.591854
53,-21.392536,-14.508513,-15.879540
